,created_at,id,text,text_nsw
21,2021-11-26 16:58:57+00:00,1464277509021650948,@shubikaoberoi tuesday pfizer wale ake keh denge ki our vaccine is effective against new strain and that will be business as usual.,@shubikaoberoi tuesday pfizer wale ake keh denge ki vaccine effective new strain business usual.
22,2021-11-26 16:58:58+00:00,1464277510947057666,@djmoss17 @zubymusic vaccine pressure? having said that what is the level of vaccination in botswana?,@djmoss17 @zubymusic vaccine pressure? said level vaccination botswana?
23,2021-11-26 16:59:01+00:00,1464277522766610432,@coleperforms want sure how it worked with covid,@coleperforms want sure worked covid
24,2021-11-26 16:59:01+00:00,1464277523316232194,"why are moderna shares trading higher on friday?

https://t.co/nnoizyilbq", moderna shares trading higher friday? https://.co/nnoizyilbq
25,2021-11-26 16:59:01+00:00,1464277524272357379,@helenashby72 @paulkent1963 if you have.nhs app( not  nhs covid) . or patient access you can check. it will be on y… https://t.co/jdzceeslwz,@helenashby72 @paulkent1963 .nhs app( nhs covid) . patient access check. … https://.co/jdzceeslwz
26,2021-11-26 16:59:01+00:00,1464277526562410503,@adam_penning have they not put covid disaster story lines in eastenders?,@adam_penning put covid disaster story lines eastenders?
27,2021-11-26 16:59:02+00:00,1464277529729110043,"@cah hey you idiots should've offered $10,000 up to the first person to take advantage of the vaccination black fri… https://t.co/euh9jr0am8","@cah hey idiots ' offered $10,000 first person take advantage vaccination black fri… https://.co/euh9jr0am8"
28,2021-11-26 16:59:03+00:00,1464277534493880331,@breaking911 the covid cult is rejoicing,@breaking911 covid cult rejoicing
29,2021-11-26 16:59:03+00:00,1464277534649073664,@ketobeejay they’re a plague worse than covid,@ketobeejay ’ plague worse covid
30,2021-11-26 16:59:04+00:00,1464277535580061696,wait. are we no longer allowed to die of natural causes/old age so we can be labeled as death from covid?,wait. longer allowed die natural causes/old age labeled death covid?
31,2021-11-26 16:59:04+00:00,1464277539057242126,@ethiclslut with #covid we already paying the price,@ethiclslut #covid already paying price
